BinCenter_pT BinContent
1.5 0.117257
2.5 0.0965817
3.5 0.0955504
4.5 0.0989663
5.5 0.10162
6.5 0.102582
7.5 0.101202
8.5 0.0979496
9.5 0.0941944
10.5 0.0898315
11.5 0.0849527
12.5 0.0805432
13.5 0.0761421
14.5 0.0720278
15.5 0.0677817
16.5 0.0647883
17.5 0.0611257
18.5 0.0583815
19.5 0.0556963
