pT v2
0.2 0.00415498
0.4 0.01303400
0.6 0.02207830
0.8 0.03137650
1.0 0.04092310
1.2 0.05064480
1.4 0.06037800
1.6 0.06987120
1.8 0.07887670
2.0 0.08709550
2.2 0.09420980
2.4 0.09999420
2.6 0.10426100
2.8 0.10691000
3.0 0.10795800
3.2 0.10751400
3.4 0.10578100
3.6 0.10308400
3.8 0.09978110
4.0 0.09618100
4.2 0.09251290
4.4 0.08890240
4.6 0.08540340
4.8 0.08203700
5.0 0.07878190
5.2 0.07563760
5.4 0.07266690
5.6 0.06994320
5.8 0.06750560
6.0 0.06526620
6.2 0.06310000
6.4 0.06095580
6.6 0.05880680
6.8 0.05662820
7.0 0.05447450
7.2 0.05241020
7.4 0.05045150
7.6 0.04865580
7.8 0.04703960
8.0 0.04553580
8.2 0.04410660
8.4 0.04272210
8.6 0.04131390
8.8 0.03986360
9.0 0.03840950
9.2 0.03700050
9.4 0.03566970
9.6 0.03441070
9.8 0.03325630
10.0 0.03225100
