pT v2
0.2 0.004406467
0.4 0.012619971
0.6 0.020972900
0.8 0.029393780
1.0 0.037863410
1.2 0.046474480
1.4 0.055116490
1.6 0.063494470
1.8 0.071242600
2.0 0.077997140
2.2 0.083585840
2.4 0.088062390
2.6 0.091578240
2.8 0.094302000
3.0 0.096387590
3.2 0.097869330
3.4 0.098646990
3.6 0.098735390
3.8 0.098297160
4.0 0.097453200
4.2 0.096277610
4.4 0.094863470
4.6 0.093318420
4.8 0.091675220
5.0 0.089935820
5.2 0.088172630
5.4 0.086515780
5.6 0.085068360
5.8 0.083702060
6.0 0.082221880
6.2 0.080658500
6.4 0.079136070
6.6 0.077688260
6.8 0.076283740
7.0 0.074893780
7.2 0.073461440
7.4 0.072003620
7.6 0.070616520
7.8 0.069362930
8.0 0.068228810
8.2 0.067097160
8.4 0.065832260
8.6 0.064503270
8.8 0.063187930
9.0 0.061816430
9.2 0.060273850
9.4 0.058533280
9.6 0.056779060
9.8 0.055210480
10.0 0.053905800
