pT v3
0.2 0.00171777
0.4 0.00424423
0.6 0.00682841
0.8 0.00952030
1.0 0.01240190
1.2 0.01554910
1.4 0.01894290
1.6 0.02249750
1.8 0.02615390
2.0 0.02981920
2.2 0.03336330
2.4 0.03668960
2.6 0.03973420
2.8 0.04242890
3.0 0.04465660
3.2 0.04631230
3.4 0.04733760
3.6 0.04770550
3.8 0.04742990
4.0 0.04653980
4.2 0.04509010
4.4 0.04325980
4.6 0.04128000
4.8 0.03931140
5.0 0.03742370
5.2 0.03556590
5.4 0.03368750
5.6 0.03185480
5.8 0.03014330
6.0 0.02857820
6.2 0.02716490
6.4 0.02586740
6.6 0.02462890
6.8 0.02343130
7.0 0.02226260
7.2 0.02112520
7.4 0.02006470
7.6 0.01909550
7.8 0.01819730
8.0 0.01737740
8.2 0.01666740
8.4 0.01604020
8.6 0.01545910
8.8 0.01494020
9.0 0.01445940
9.2 0.01397240
9.4 0.01344920
9.6 0.01291080
9.8 0.01239790
10.0 0.01191600
