pT v2
0.2 0.00262753
0.4 0.00765133
0.6 0.01286000
0.8 0.01838520
1.0 0.02425750
1.2 0.03036120
1.4 0.03651120
1.6 0.04250990
1.8 0.04816940
2.0 0.05335680
2.2 0.05787740
2.4 0.06153430
2.6 0.06425430
2.8 0.06602740
3.0 0.06689040
3.2 0.06692490
3.4 0.06626150
3.6 0.06507080
3.8 0.06353010
4.0 0.06178200
4.2 0.05989390
4.4 0.05792290
4.6 0.05590750
4.8 0.05388660
5.0 0.05191460
5.2 0.05001750
5.4 0.04821970
5.6 0.04656500
5.8 0.04505340
6.0 0.04361740
6.2 0.04222490
6.4 0.04090590
6.6 0.03968880
6.8 0.03853260
7.0 0.03736920
7.2 0.03617960
7.4 0.03500020
7.6 0.03388600
7.8 0.03283030
8.0 0.03179000
8.2 0.03077760
8.4 0.02980680
8.6 0.02887380
8.8 0.02800810
9.0 0.02723740
9.2 0.02652130
9.4 0.02579430
9.6 0.02504460
9.8 0.02431740
10.0 0.02365200
