pT v3
0.2 0.00182219
0.4 0.00576643
0.6 0.00995427
0.8 0.01448800
1.0 0.01940930
1.2 0.02463570
1.4 0.03009280
1.6 0.03556180
1.8 0.04079310
2.0 0.04552460
2.2 0.04945370
2.4 0.05241450
2.6 0.05445360
2.8 0.05568060
3.0 0.05619500
3.2 0.05608160
3.4 0.05547990
3.6 0.05461030
3.8 0.05353290
4.0 0.05221880
4.2 0.05075000
4.4 0.04928660
4.6 0.04793090
4.8 0.04672940
5.0 0.04567940
5.2 0.04467380
5.4 0.04358560
5.6 0.04241950
5.8 0.04115540
6.0 0.03976330
6.2 0.03830950
6.4 0.03691780
6.6 0.03577240
6.8 0.03490290
7.0 0.03417640
7.2 0.03349340
7.4 0.03284560
7.6 0.03222620
7.8 0.03152410
8.0 0.03067470
8.2 0.02976950
8.4 0.02891350
8.6 0.02810550
8.8 0.02727290
9.0 0.02630840
9.2 0.02518690
9.4 0.02402410
9.6 0.02297260
9.8 0.02223550
10.0 0.02185140
